artist,track,url
"Metro Boomin","Nas Morales (Metro Boomin & Nas)","https://www.youtube.com/embed/5qZ7KzusFpM?autoplay=1&start=46&end=76&controls=0"
"Chase Atlantic","Church","https://www.youtube.com/embed/ke8RUVEcajI?autoplay=1&start=39&end=69&controls=0"
"Avril Lavigne","What the Hell","https://www.youtube.com/embed/NE7dhplqLjs?autoplay=1&start=46&end=76&controls=0"
"overrated","Criminal","https://www.youtube.com/embed/PvKw4ljBohA?autoplay=1&start=50&end=80&controls=0"
"Holy Priest","Under The Lights","https://www.youtube.com/embed/AQcB_V8IPRc?autoplay=1&start=42&end=72&controls=0"
"Saymooon","DRIFT KING","https://www.youtube.com/embed/RZ5BsYlGUGU?autoplay=1&start=51&end=81&controls=0"
"Kavinsky","Odd Look","https://www.youtube.com/embed/vJ1oyOazhEk?autoplay=1&start=40&end=70&controls=0"
"Snoop Dogg","I Wanna Fuck You","https://www.youtube.com/embed/U0WOZb8vgFI?autoplay=1&start=43&end=73&controls=0"
"Jessie Reyez","Imported (with 6LACK)","https://www.youtube.com/embed/uOYj7WfJQD8?autoplay=1&start=44&end=74&controls=0"
"XXXTENTACION","Revenge","https://www.youtube.com/embed/CD_tD26E7k0?autoplay=1&start=44&end=74&controls=0"
"Arctic Monkeys","505","https://www.youtube.com/embed/qU9mHegkTc4?autoplay=1&start=46&end=76&controls=0"
"overrated","Let Me Bleed","https://www.youtube.com/embed/zTW5iWMAw8c?autoplay=1&start=41&end=71&controls=0"
"Tone Stith","FWM","https://www.youtube.com/embed/RnItRcPNAw8?autoplay=1&start=44&end=74&controls=0"
"overrated","Little Demon King","https://www.youtube.com/embed/CCyimDEWgAs?autoplay=1&start=35&end=65&controls=0"
"Raphael Lake","Prisoner","https://www.youtube.com/embed/N5UdG9VwGM8?autoplay=1&start=54&end=84&controls=0"
"Cryogenic","Fake Ass Model Bitch [Mixed]","https://www.youtube.com/embed/4G9fU_MgBnA?autoplay=1&start=34&end=64&controls=0"
"Charli xcx","Used to Know Me","https://www.youtube.com/embed/ti9Y6X-qhxM?autoplay=1&start=35&end=65&controls=0"
"The Weeknd","Cry For Me","https://www.youtube.com/embed/ljxYE-aJD3A?autoplay=1&start=33&end=63&controls=0"
